NewCo Centro Mayor,Bogotá,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo DiverPlaza,Bogotá,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Gran Estación,Bogotá,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Andino,Bogotá,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Colina,Bogotá,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Tesoro,Medellín,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo SantaFé Medellín,Medellín,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Chipichape,Cali,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Ciudad Victoria,Pereira,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
NewCo Unicentro Tunja,Tunja,Colombia,2024-03-20 02:06:10.824269+00:00,2024-03-20 02:06:10.824269+00:00
